"","350","370","390","410","420","450","mode","effect"
"load3",0.822,0.858,0.866,0.86,0.886,0.888,"databased","load3"
"load5",1,1,1,1,1,1,"databased","load5"
"trialpm",0.098,0.088,0.096,0.084,0.108,0.08,"databased","trialpm"
"load3:trialpm",0.156,0.138,0.168,0.19,0.162,0.24,"databased","load3:trialpm"
"load5:trialpm",0.278,0.318,0.318,0.326,0.34,0.444,"databased","load5:trialpm"
"load31",0.82,0.854,0.856,0.88,0.89,0.908,"SESOI","load3"
"load51",1,1,1,1,1,1,"SESOI","load5"
"trialpm1",0.082,0.086,0.078,0.092,0.086,0.104,"SESOI","trialpm"
"load3:trialpm1",0.148,0.138,0.184,0.19,0.188,0.198,"SESOI","load3:trialpm"
"load5:trialpm1",0.316,0.35,0.322,0.362,0.402,0.402,"SESOI","load5:trialpm"
